@relation A0GestTest
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {D,A,B,C}
@data
619.408,226.12749,606.216,140.29253,207.1,560.25287,D
523.812,277.7218,548.788,221.50839,88.368,552.05676,D
568.612,437.48868,493.112,222.78218,201.952,664.1438,D
642.28,390.14,466.636,234.52654,243.412,648.01404,D
653.56,347.62708,499.064,232.48227,271.332,599.8618,D
604.2,323.5157,467.924,219.34106,251.76,652.8754,D
665.308,308.21875,494.172,244.97127,232.272,640.1626,D
657.128,376.1527,468.052,203.30855,225.62,678.46985,D
690.888,403.12024,476.32,249.46664,279.468,569.69556,D
686.752,391.52103,387.488,265.4364,252.912,746.32916,D
647.272,419.31683,384.7,234.7078,231.724,723.1616,D
667.068,383.21796,453.604,294.23804,297.02,536.81366,D
661.264,462.5819,421.428,217.28967,264.732,675.88885,D
725.904,454.43613,430.472,242.97092,263.052,676.5726,D
643.248,462.0596,392.12,279.25403,310.052,720.86694,D
634.224,346.221,436.964,240.83723,259.9,729.4328,D
659.6,395.9796,478.4,229.01695,252.476,644.6143,D
653.084,446.9447,415.012,207.22646,272.788,745.4057,D
627.804,417.85596,414.804,206.30803,290.436,688.1032,D
707.968,350.4489,459.716,177.03726,223.212,678.5315,D
652.272,497.6445,383.584,259.9161,295.688,721.57996,D
656.968,476.29535,411.272,229.85468,281.644,747.36816,D
630.844,475.29318,395.96,233.95836,292.416,769.73206,D
662.844,372.6364,433.888,222.96922,278.648,765.0733,D
689.76,372.98517,418.596,257.58914,304.812,666.41235,D
715.156,291.5292,380.312,302.89978,348.56,721.436,D
699.832,358.2053,372.292,299.10587,360.14,722.28156,D
687.712,340.63177,451.04,227.1744,315.524,700.5874,D
696.656,306.27084,423.248,285.0261,306.192,688.4202,D
704.452,337.81628,427.32,221.43147,296.208,711.8678,D
747.204,336.30344,451.096,215.49193,339.036,666.95856,D
739.092,332.84885,394.616,293.40915,322.06,719.1489,D
652.816,405.72015,412.372,204.07837,323.184,761.4508,D
713.088,359.39966,441.232,226.57306,261.9,665.89215,D
645.436,365.87482,438.144,204.98439,296.964,692.23474,D
680.036,405.53012,438.836,168.90175,284.768,747.7028,D
684.868,326.5722,432.304,216.47636,294.804,712.6437,D
648.572,287.23038,438.144,226.19185,304.144,709.56836,D
658.216,291.19537,457.52,228.11353,296.772,624.68665,D
686.62,328.4759,441.104,265.3345,316.292,633.65137,D
665.316,414.41895,416.672,231.51686,296.28,705.57434,D
643.916,373.2824,423.352,253.27376,302.816,692.2624,D
717.74,327.64316,403.352,302.24265,328.216,694.74084,D
686.036,444.3313,408.92,244.92914,278.988,717.3607,D
677.792,374.23535,405.768,250.24525,326.992,690.7451,D
688.132,314.46664,403.836,272.17,363.988,684.14886,D
658.16,344.11176,435.108,281.13956,330.756,647.28156,D
703.132,416.144,372.22,271.9174,338.608,734.5418,D
682.272,400.51572,409.476,269.3091,285.764,685.243,D
687.156,390.78177,394.18,284.18378,305.86,653.553,D
488.588,669.45184,308.904,212.30524,163.296,616.7173,A
488.816,664.5121,322.904,229.41641,206.048,656.91077,A
443.54,711.8839,304.688,280.0902,190.884,641.3379,A
489.708,700.56213,318.236,252.68315,186.588,665.1102,A
484.972,742.1231,286.832,291.58932,214.896,646.8057,A
531.024,718.92334,300.088,242.87254,218.564,705.0338,A
592.216,686.4597,336.28,192.89781,114.32,586.153,A
523.184,775.8922,295.556,222.6883,174.34,674.682,A
491.264,759.26044,336.0,224.47197,234.648,664.9565,A
528.956,706.9579,321.772,295.92355,241.752,676.1776,A
493.432,785.11255,305.02,277.77887,195.324,651.8039,A
547.416,733.6719,343.756,263.84705,192.528,705.04974,A
522.424,752.8926,319.236,262.14438,210.752,668.7137,A
461.856,769.10925,278.816,296.10187,234.048,714.8185,A
605.424,750.4569,342.452,226.51456,182.984,658.60913,A
628.576,686.51587,358.14,235.0156,90.824,582.71704,A
617.268,662.32153,372.228,212.94818,195.028,633.34924,A
586.644,681.24554,340.188,255.4228,121.212,538.70807,A
621.7,674.36285,353.1,249.18178,100.092,526.3418,A
585.048,663.4554,353.528,244.27057,153.432,593.66266,A
585.58,729.3119,326.832,235.54321,225.004,677.89044,A
531.124,752.74005,315.864,208.4999,137.156,698.2863,A
566.928,743.8618,316.08,208.28078,144.044,670.60046,A
569.944,708.9343,345.104,214.36026,221.036,718.2293,A
580.968,740.2201,320.76,228.98068,214.692,719.4036,A
579.064,708.3974,334.152,242.40512,136.152,612.62225,A
530.844,768.3588,324.328,222.34227,176.828,631.9462,A
626.584,685.886,336.44,259.6884,135.512,644.92664,A
523.724,751.6067,318.308,214.15784,148.172,653.92505,A
537.224,744.18744,326.552,202.13922,168.692,624.9982,A
551.58,678.5061,353.056,208.1836,100.66,599.1482,A
575.288,711.65894,346.996,173.57791,96.132,662.8336,A
620.276,672.52814,354.972,182.42374,71.004,570.068,A
587.824,640.0082,350.992,236.1146,136.184,566.6585,A
478.496,775.52814,285.988,227.12875,249.924,726.669,A
497.316,756.3174,280.556,242.13068,186.736,698.4517,A
614.308,678.0921,311.984,248.40392,85.908,584.1091,A
530.704,759.3262,269.24,211.80672,156.072,678.0541,A
509.56,738.5263,291.576,215.97607,202.156,721.7312,A
508.244,743.54407,268.164,239.2931,208.832,670.9584,A
489.652,725.3448,306.724,233.91826,229.668,682.0644,A
496.188,752.57715,318.612,208.18463,201.72,655.35114,A
504.456,696.9902,295.452,235.55736,243.932,691.1652,A
485.352,778.4738,261.192,262.23694,257.068,677.9675,A
