@relation A0GestTest
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A,B,C,D}
@data
305.336,281.99667,180.016,136.3152,-7.864,213.72902,A
287.368,324.67712,135.172,201.55261,16.328,272.51807,A
308.192,315.96014,162.26,145.8992,4.864,277.31918,A
305.216,311.71237,197.368,115.71029,-3.576,253.23311,A
287.6,333.70532,161.716,162.79532,23.2,303.57068,A
284.792,318.96375,168.956,150.60834,13.424,265.12363,A
274.844,336.2688,160.752,164.1979,16.876,260.7309,A
280.096,306.86603,190.868,139.34732,8.176,247.78972,A
266.832,319.13687,182.832,132.06654,7.484,277.94107,A
293.98,304.0981,200.36,121.980225,5.504,245.99988,A
322.164,128.00972,229.132,86.928246,89.492,258.79428,B
335.8,103.289246,225.916,116.25966,108.256,294.99298,B
336.816,109.91717,219.116,113.95454,117.968,320.72586,B
350.708,116.55798,201.14,129.49506,53.888,308.78516,B
329.096,122.285034,206.588,112.729385,122.592,352.26334,B
338.636,107.77742,220.108,105.550674,36.74,229.08702,B
330.092,85.29606,229.06,100.29467,103.972,284.5408,B
334.38,84.301735,236.868,98.03719,34.476,200.3148,B
328.0,83.9717,228.116,101.53659,109.532,305.07367,B
330.972,96.514656,238.136,96.83115,96.748,292.8754,B
286.28,264.2582,262.268,54.69936,-24.448,68.78416,C
285.568,269.1288,261.192,35.33777,-28.744,97.24223,C
265.788,285.37958,251.468,51.908527,-36.68,101.81147,C
267.96,321.59384,236.468,52.992752,-40.812,130.32431,C
344.936,219.05666,259.956,31.012533,-6.796,131.33435,C
265.736,291.80795,243.512,61.013325,-40.992,102.6235,C
271.236,304.9029,231.536,66.69372,-31.028,136.76465,C
241.464,313.93463,211.248,93.37592,-21.328,88.452675,C
261.828,310.53833,214.936,65.6165,-35.548,161.98633,C
266.84,297.78116,220.456,65.38626,-38.384,112.647934,C
315.108,112.25894,228.228,102.152214,120.328,325.66818,D
339.568,110.07534,215.328,119.2895,115.692,314.56152,D
350.336,178.60591,198.812,134.23564,138.656,343.13855,D
360.856,157.45816,178.532,126.35521,116.48,385.14246,D
353.296,252.30266,174.156,161.03877,153.224,348.131,D
350.656,210.01678,177.736,153.61852,141.9,341.72803,D
364.004,183.43062,180.908,146.31929,139.28,318.81155,D
368.092,125.55535,196.028,150.38972,138.988,325.23892,D
335.708,196.2558,201.284,140.07013,117.976,315.74136,D
347.152,176.46005,201.76,147.02052,126.82,326.38742,D
