@relation postData
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label {A,B}
@data
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,10.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
0.0,0.0,9.0,A
