@relation accData_Y
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label numeric
@data
1.0,4.0,7.0,0.0
1.0,4.0,8.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,4.0,8.0,0.0
1.0,4.0,7.0,0.0
1.0,4.0,7.0,0.0
1.0,4.0,8.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,5.0,7.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,7.0,0.0
1.0,4.0,7.0,0.0
0.0,4.0,7.0,0.0
1.0,4.0,7.0,0.0
1.0,4.0,8.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
0.0,4.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,8.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
1.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
1.0,4.0,8.0,0.0
1.0,4.0,7.0,0.0
0.0,4.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,4.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
1.0,5.0,8.0,0.0
0.0,5.0,7.0,0.0
1.0,4.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,4.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,7.0,0.0
1.0,5.0,8.0,0.0
1.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
1.0,4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,7.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,8.0,1.0
1.0,-4.0,7.0,1.0
0.0,-4.0,8.0,1.0
0.0,-4.0,8.0,1.0
