@relation accData
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label numeric
@data
0.0,0.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,6.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
-4.0,-5.0,5.0,0.0
6.0,4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,5.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,5.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
5.0,-4.0,6.0,3.0
