@relation accData_X
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute label numeric
@data
-8.0,0.0,5.0,0.0
-8.0,0.0,5.0,0.0
-8.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,4.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,4.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
-7.0,0.0,5.0,0.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
7.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
7.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
7.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
7.0,0.0,4.0,1.0
7.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
7.0,0.0,4.0,1.0
8.0,0.0,5.0,1.0
8.0,0.0,4.0,1.0
