@relation A0GestTest
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {A,B,C,D}
@data
9.63,2.4356575,-0.04,0.37389567,-1.54,3.0827641,A
9.25,3.9526873,0.35,1.3361713,0.32,6.503892,A
9.84,3.732792,0.01,0.57726276,-0.4,4.6861067,A
8.66,6.2864614,0.35,1.0766108,-0.95,6.350654,A
9.78,3.4010699,0.21,0.97747356,0.28,6.02198,A
8.55,7.2004137,0.59,1.0645338,-1.44,6.443727,A
9.74,3.7135298,0.24,0.88898987,0.11,4.4356112,A
9.97,3.3377397,0.22,0.6602724,0.28,4.4655356,A
9.0,6.0569687,0.42,0.698917,-0.76,7.128149,A
9.9,3.5205026,0.11,0.61783266,-0.19,3.2433147,A
8.27,3.617731,2.42,4.283348,-0.43,13.52682,B
8.38,2.4153545,2.02,3.5731318,-0.35,13.38277,B
8.41,2.5230052,2.63,3.5891392,-0.97,14.853802,B
8.2,2.335497,3.12,4.063337,-0.56,16.319613,B
8.25,3.0891635,2.52,3.8729317,-1.29,16.79604,B
8.09,3.6239803,2.59,3.9621823,-0.3,16.8184,B
8.91,2.7343493,1.18,3.1984215,0.99,13.270683,B
8.23,3.3630648,2.41,4.5083423,-0.81,16.797485,B
8.58,2.1889532,2.65,4.1666665,-0.62,17.167494,B
8.49,1.8667476,2.29,4.3792324,-0.82,16.22903,B
8.94,7.474968,-0.01,0.6741249,-1.63,5.9316893,C
8.92,7.348029,-0.16,0.8957813,-1.68,5.443706,C
7.83,6.458969,0.06,1.1443317,0.25,4.8687315,C
7.68,6.1920114,-0.01,0.9480975,0.21,3.4910996,C
9.51,3.5886889,-0.11,0.49020717,0.32,3.979442,C
7.88,5.616139,-0.02,0.69602036,0.51,3.0830097,C
7.88,5.4795856,0.13,0.6459665,0.29,3.2107618,C
9.89,3.1778746,0.07,0.5551412,0.12,2.9891386,C
9.06,2.891366,-0.12,0.60769475,0.68,4.1630406,C
10.0,3.6181362,0.07,0.7,0.41,2.9918914,C
7.58,18.019732,0.42,9.895597,0.78,9.568024,D
6.52,16.770874,0.21,11.352297,2.06,11.494241,D
7.56,16.69411,-1.37,9.180188,1.14,6.792777,D
7.67,17.404896,1.25,12.35696,1.99,11.490438,D
6.73,18.268955,2.23,12.811654,0.86,12.673858,D
6.82,17.920353,1.27,10.188977,0.52,9.23266,D
8.29,16.166618,1.18,11.169385,1.04,10.354252,D
7.71,18.699266,2.04,8.625684,0.59,6.313517,D
8.21,16.616468,2.08,11.60867,0.72,9.437814,D
5.65,18.532185,2.29,12.978843,0.36,11.61723,D
